,English,Japanese
0,"wear(wore, worn)",摩耗
1,pavement,舗装
2,observe,守る
3,rehabilitation,復旧
4,comprise,(部分)から成る
5,contractor,建築請負業者
6,diligently,懸命に
7,minimize,最小にする
8,alternative,代わりの
9,motorists,運転手
10,construction,工事
11,periodical,定期刊行雑誌
12,practical,実用的な
13,numerous,多数の
14,face,直面する
15,workforce,職員
16,pick up ~,〜を増す、購入する
17,motivated,意欲のある
18,come with ~,〜がついている
19,merchandise,商品
20,upon -ing,〜し次第
21,cleaning supplies,清掃用品
22,showcase,陳列する
23,warehouse,倉庫
24,bulk order,大量注文
25,electronically,ネットを通じて
26,handle,扱う
27,rail,鉄道
28,overall,全体の
29,precaution,予防装置
30,build up,蓄積する
31,make sure,必ず〜する
32,come in contact with ~,〜と接触する
33,corrosion,腐食
34,gently,やさしく
35,double check,再確認する
36,secure,固定されている
37,use force,力まかせにする
38,loosen,ゆるめる
39,ensure,確かにする
40,maintain,維持する
41,most,たいてい
42,wipe off ~,〜を拭き取る
43,reception,受付
44,put ~ together,〜を作る
45,straight,まっすぐに
46,confident,確信している
47,place an order,注文する
48,on one's own,自力で
49,attractive,魅力的
50,sales figures,売上高
51,market,売り込む
52,indicate,簡単に述べる
53,neither of,[2者の]どちらでも〜ない
54,cereal,コーンフレーク
55,stop by ~,〜に立ち寄る
56,go over ~,〜を調べる
57,appealing,魅力的
58,assignment,業務
59,come up with ~,〜を考え出す
60,in the heart of ~,〜の中心に
61,next to ~,〜の隣に
62,be thrilled to ~,〜することを大喜びしている
63,expand one's presence,事業展開を拡大する
64,vice president,副社長
65,operate,経営する
66,seven states,7つの州
67,reputation,評判
68,internationally,国際的に
69,refreshment,軽い飲食物
70,retail,小売
71,executive,重役・役員
72,serve,(飲食物)を出す
73,mayor,市長
74,advertisement,広告
75,individual,人、個人
76,fill a vacancy,欠員を補充する
77,head office ,本社
78,candidate,応募者
79,applicant,応募者
80,cope with ~,〜に対処する
81,tight,きつい
82,prior,前の
83,required,必須の
84,copmpetitive,他に負けない
85,benefit package,福利厚生
86,qualified,資格要件を満たした
87,resume,履歴書
88,human resoures,人事
89,career advancement,昇進
90,professional growth,専門的発展
91,job opening,職の空き
92,upcoming,来る
93,accounting,会計
94,annual,毎年恒例の
95,amateur,アマチュア、素人
96,invite,招待する
97,depict,写す
98,certificate,証明書
99,gift certificate,ギフト券
100,redeemabe,商品に変えられる
101,voucher,引換券、クーポン券
102,contestant,(コンテストの)参加者
103,feature,掲載する
104,up to ~,最大〜まで
105,entitle,題する
106,You are cordially invited to ~,あなたを〜に謹んでご招待いたします
107,no doubt,きっと
108,chairperson,辞任する
109,association,協会
110,replace,〜の後任となる
111,resident,居住者
112,objective,目標
113,step down from ~,〜を退く
114,notice,お知らせ
115,As in previous years,以前と同じように
116,infer,推論する
117,after years of  ~,〜の数年後に
118,pastime,趣味
119,accessory,雑貨
120,seed,種
121,thrive,よく育つ
122,on the other hand,一方で
123,pleasant,心地よい
124,lawn,芝生
125,compost,堆肥にする
126,confirmation,確認
127,invoice,納品書
128,appreciate,ありがたく思う
129,be willing to ~,〜する意思がある
130,pharmacist,薬剤師
131,out of,不足して
132,use up,使い尽くす
133,lead,指導する
134,reimburse,返済する
135,grab,手に入れる、手に入れて与える
136,newest,最新
137,attendee,参加者
138,generate,起こす、生む
139,coordinate,調整する
140,crowd,大勢、多数の
141,venue,会場
142,try out,〜を試してみる
143,merchandise,商品
144,yacht,ヨット
145,inexpensive,比較的安価な
146,in the years to come,この後もずっと
147,quite a few,かなり多くの
148,contract,契約
149,commend,賞賛する
150,in response to ~,〜に答えて、〜の返答として
151,facilities,設備
152,property,不動産物件
153,condominium,コンドミニアム、分譲マンション
154,furnished,家具付きの
155,inland,内陸
156,tenant,貸借人
157,utility,公共料金
158,complex,複合ビル
159,can't thank you enough for ~,〜に関して大変感謝している
160,itinerary,旅程
161,conduct,案内する
162,probably,多分
163,scale,尺度
164,courteous,丁重な
165,reliable,信頼性のある
166,accommodation,宿泊施設
167,adequately,十分に
168,leisure,余暇
169,reception,フロント
170,landscaper,造園業者
171,as per ~,〜に従って
172,vonch for ~,〜を保証する
173,assume,取り入れる
174,vendor,供給業者
175,proposall,提案
176,highlight,ハイライト、最重要点
177,estimate,見積もり
178,specify,明記する
179,a number of ~,〜複数の、〜たくさんの
180,so far,今までのところ
181,finalize,完了させる
182,be font of ~,〜が好き
183,be committed to ~,〜することに専心している
184,distinguished,著名な
185,express,表現する
186,region,地域
187,livestock,家畜
188,pose,引き起こす
189,self-employed,自営の
190,be in charge of ~,〜の担当である
191,inspect,調査する
192,equip,備えつける
193,assign,割り当てる
194,attend,出席する
195,board member,取締役
196,be due to ~,〜する予定だ
197,subscription fee,購読料
198,stimulate,活気づける
199,reservation,予約
200,Please note that ~,〜にご注意ください
201,mosquito,蚊
202,bite,噛む、刺す、食う
203,within,〜以内に
204,exclusivity,排他性
205,exclusively,排他的に、もっぱら
206,invalid,無効な
207,ship,配送する
208,bound for ~,〜行きの
209,considerable time,かなりの時間
210,Whether,〜であろうとなかろうと、〜かどうか
211,invest,投資する
212,be up to ~,〜次第である
213,design,〜の目的で作る
214,strengthen,強化する
215,mandatory,義務の
216,prioritize,優先順位をつける
217,delegate reponsibility,責務を割り当てる
218,make it,都合をつける
219,handout,配布資料
220,coastline,海岸線
221,property,建物
222,restoration,修復
223,questionnaire,アンケート
224,a wide variety of ~,さまざまな〜
225,put off,延期する
226,fiscal year,会計年度
227,institute,研究機関
228,forecaster,(気象)予報士
229,Please be aware that ~,〜にご注意ください
230,get accustomed to ~,〜に慣れる
231,state,述べる
232,prior to ~,〜の前に(before)
233,revewal,更新
234,retail,小売り
235,revised invoice,訂正済みの請求書
236,Count on~,〜に頼る
237,regariding~,〜に関して
238,defective,欠陥がある
239,refund,返金
240,in accordance with~,〜に従って
241,receive,受け取る
242,redirect an order,注文の送付先を変更する
243,dispatch,発送する
244,once,[接]いったん〜すると
245,implement,実施する
246,measure,方策
247,consumption,消費量
